usuario_id,usuario_nombre,usuario_edad,usuario_verificado,usuario_correos_asociados,usuario_fecha_registro,cuenta_origen_id,cuenta_origen_saldo,cuenta_origen_tipo,cuenta_origen_fecha_creacion,cuenta_origen_activa,cuenta_origen_nivel_riesgo,cuenta_destino_id,cuenta_destino_saldo,cuenta_destino_tipo,cuenta_destino_fecha_creacion,cuenta_destino_activa,cuenta_destino_nivel_riesgo,transaccion_id,transaccion_monto,transaccion_fecha,transaccion_minuto_dia,transaccion_tipo,transaccion_canal,transaccion_etiquetas_alerta,transaccion_es_sospechosa,transaccion_riesgo_score,dispositivo_id,dispositivo_tipo,dispositivo_ip,dispositivo_sistema_operativo,dispositivo_confiable,dispositivo_ultimo_uso,ubicacion_residencia_id,ubicacion_residencia_pais,ubicacion_residencia_ciudad,ubicacion_residencia_latitud,ubicacion_residencia_longitud,ubicacion_residencia_zona_riesgo,ubicacion_transaccion_id,ubicacion_transaccion_pais,ubicacion_transaccion_ciudad,ubicacion_transaccion_latitud,ubicacion_transaccion_longitud,ubicacion_transaccion_zona_riesgo,ubicacion_cuenta_id,ubicacion_cuenta_pais,ubicacion_cuenta_ciudad,ubicacion_cuenta_latitud,ubicacion_cuenta_longitud,ubicacion_cuenta_zona_riesgo,ubicacion_dispositivo_id,ubicacion_dispositivo_pais,ubicacion_dispositivo_ciudad,ubicacion_dispositivo_latitud,ubicacion_dispositivo_longitud,ubicacion_dispositivo_zona_riesgo
USU_0001,Camila Hernandez,53,true,camila.hernandez@correo.com|0001@banco-demo.com,2024-09-01,CTA_00001,52025.77,nomina,2025-03-12,true,alto,CTA_01550,35355.94,monetaria,2026-04-06,true,alto,TX_000001,64.35,2026-04-11,480,transferencia,app_movil,cuenta_destino_nueva|frecuencia_alta|ubicacion_inusual|microtransacciones,true,78,DEV_0001,laptop,10.1.7.0,ATM-OS,true,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_007,Honduras,Tegucigalpa,14.04557,-87.1819,true,UBI_003,Guatemala,Escuintla,14.30954,-90.77595,false,UBI_006,El Salvador,San Salvador,13.64608,-89.25883,true
USU_0002,Sofia Hernandez,47,true,sofia.hernandez@correo.com|0002@banco-demo.com,2020-07-21,CTA_00001,77851.95,nomina,2021-09-11,true,alto,CTA_01551,17590.7,empresarial,2026-04-07,true,alto,TX_000002,45.92,2026-04-11,482,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,86,DEV_0002,telefono,10.2.14.13,Android,false,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_002,Guatemala,Quetzaltenango,14.81232,-91.54251,false,UBI_003,Guatemala,Escuintla,14.2909,-90.8006,false,UBI_011,Colombia,Bogotá,4.68745,-74.11775,true
USU_0003,Maria Reyes,61,true,maria.reyes@correo.com|0003@banco-demo.com,2024-08-13,CTA_00001,48769.57,ahorro,2025-05-30,true,alto,CTA_01552,14688.66,nomina,2026-04-08,true,alto,TX_000003,66.21,2026-04-11,484,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,87,DEV_0003,pos,10.3.21.26,iOS,false,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_003,Guatemala,Escuintla,14.2828,-90.77143,false,UBI_003,Guatemala,Escuintla,14.29148,-90.79798,false,UBI_016,Guatemala,Cobán,15.44175,-90.3941,false
USU_0004,Diego Reyes,49,true,diego.reyes@correo.com|0004@banco-demo.com,2025-09-28,CTA_00001,73172.35,nomina,2021-06-18,true,alto,CTA_01553,8377.82,empresarial,2026-04-09,true,alto,TX_000004,68.19,2026-04-11,486,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,79,DEV_0004,cajero,10.4.28.39,Linux,true,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_004,Guatemala,Cobán,15.46092,-90.41418,false,UBI_003,Guatemala,Escuintla,14.34631,-90.77828,false,UBI_021,Costa Rica,San José,9.94989,-84.11944,true
USU_0005,Sofia Mendez,42,true,sofia.mendez@correo.com|0005@banco-demo.com,2023-02-26,CTA_00001,37497.19,empresarial,2025-06-19,true,alto,CTA_01554,51646.78,monetaria,2026-04-10,true,alto,TX_000005,43.95,2026-04-11,488,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,85,DEV_0005,telefono,10.5.35.52,ATM-OS,false,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_005,Guatemala,Petén,16.86671,-89.93184,false,UBI_003,Guatemala,Escuintla,14.31774,-90.75579,false,UBI_026,Guatemala,Quetzaltenango,14.84432,-91.57415,false
USU_0006,Lucia Garcia,24,true,lucia.garcia@correo.com|0006@banco-demo.com,2024-04-10,CTA_00001,23945.74,ahorro,2023-07-16,true,alto,CTA_01555,45750.65,monetaria,2026-04-11,true,alto,TX_000006,85.21,2026-04-11,490,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,86,DEV_0006,cajero,10.6.42.65,Android,false,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_006,El Salvador,San Salvador,13.68827,-89.17282,true,UBI_003,Guatemala,Escuintla,14.34259,-90.80866,false,UBI_031,Honduras,Tegucigalpa,14.07236,-87.22423,true
USU_0007,Jorge Hernandez,26,true,jorge.hernandez@correo.com|0007@banco-demo.com,2025-08-06,CTA_00001,38075.06,ahorro,2024-08-16,true,alto,CTA_01556,52345.98,nomina,2026-04-12,true,alto,TX_000007,19.51,2026-04-11,492,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,89,DEV_0007,pos,10.7.49.78,POS-Embedded,true,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_007,Honduras,Tegucigalpa,14.07904,-87.23422,true,UBI_003,Guatemala,Escuintla,14.32819,-90.7534,false,UBI_036,Guatemala,Guatemala,14.6827,-90.50363,false
USU_0008,Jorge Gomez,32,true,jorge.gomez@correo.com|0008@banco-demo.com,2022-02-26,CTA_00001,674.55,monetaria,2022-05-02,true,alto,CTA_01557,54325.2,empresarial,2026-04-13,false,alto,TX_000008,72.04,2026-04-11,494,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,84,DEV_0008,laptop,10.8.56.91,Windows,false,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_008,México,Tapachula,14.89941,-92.26164,true,UBI_003,Guatemala,Escuintla,14.2671,-90.81253,false,UBI_041,Guatemala,Petén,16.89581,-89.88397,false
USU_0009,Ricardo Martinez,45,true,ricardo.martinez@correo.com|0009@banco-demo.com,2021-11-12,CTA_00001,69120.56,monetaria,2022-10-10,true,alto,CTA_01558,59049.91,monetaria,2026-04-14,false,alto,TX_000009,66.86,2026-04-11,496,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,84,DEV_0009,tablet,10.9.63.104,POS-Embedded,false,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_009,Costa Rica,San José,9.92537,-84.06224,true,UBI_003,Guatemala,Escuintla,14.33575,-90.81596,false,UBI_046,Panamá,Ciudad de Panamá,8.94209,-79.52679,true
USU_0010,Valeria Hernandez,53,true,valeria.hernandez@correo.com|0010@banco-demo.com,2022-11-30,CTA_00001,52206.38,monetaria,2023-06-18,true,alto,CTA_01559,55582.02,ahorro,2026-04-15,true,alto,TX_000010,83.24,2026-04-11,498,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,85,DEV_0010,cajero,10.10.70.117,macOS,true,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_010,Panamá,Ciudad de Panamá,8.97459,-79.54205,true,UBI_003,Guatemala,Escuintla,14.27998,-90.74267,false,UBI_051,Guatemala,Escuintla,14.29931,-90.74887,false
USU_0011,Luis Martinez,53,true,luis.martinez@correo.com|0011@banco-demo.com,2023-10-18,CTA_00001,38985.05,ahorro,2025-12-18,true,alto,CTA_01560,58122.56,monetaria,2026-04-16,true,alto,TX_000011,28.17,2026-04-11,500,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,90,DEV_0001,telefono,10.1.7.130,Android,false,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_011,Colombia,Bogotá,4.68752,-74.04369,true,UBI_003,Guatemala,Escuintla,14.3005,-90.7927,false,UBI_006,El Salvador,San Salvador,13.73863,-89.16866,true
USU_0012,Daniela Martinez,54,true,daniela.martinez@correo.com|0012@banco-demo.com,2025-08-08,CTA_00001,47602.08,monetaria,2023-02-16,true,alto,CTA_01561,35020.34,empresarial,2026-04-17,true,alto,TX_000012,59.66,2026-04-11,502,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,94,DEV_0002,laptop,10.2.14.143,ATM-OS,false,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_012,Guatemala,Guatemala,14.67003,-90.55005,false,UBI_003,Guatemala,Escuintla,14.2618,-90.74882,false,UBI_011,Colombia,Bogotá,4.70138,-74.02794,true
USU_0013,Camila Gomez,24,false,camila.gomez@correo.com|0013@banco-demo.com,2025-03-09,CTA_00001,17131.03,empresarial,2022-03-18,true,alto,CTA_01562,20940.53,monetaria,2026-04-18,true,alto,TX_000013,70.88,2026-04-11,504,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,85,DEV_0003,tablet,10.3.21.156,Windows,true,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_013,Guatemala,Antigua Guatemala,14.5386,-90.75228,false,UBI_003,Guatemala,Escuintla,14.33019,-90.82775,false,UBI_016,Guatemala,Cobán,15.46663,-90.32095,false
USU_0014,Jorge Castillo,25,true,jorge.castillo@correo.com|0014@banco-demo.com,2021-05-25,CTA_00001,59419.09,ahorro,2022-04-23,true,alto,CTA_01563,36289.79,empresarial,2026-04-19,true,alto,TX_000014,23.41,2026-04-11,506,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,95,DEV_0004,tablet,10.4.28.169,Linux,false,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_014,Guatemala,Quetzaltenango,14.80288,-91.49879,false,UBI_003,Guatemala,Escuintla,14.28494,-90.76866,false,UBI_021,Costa Rica,San José,9.97199,-84.12727,true
USU_0015,Maria Morales,45,true,maria.morales@correo.com|0015@banco-demo.com,2023-07-19,CTA_00001,9038.72,ahorro,2024-06-04,true,alto,CTA_01564,50075.7,ahorro,2026-04-20,true,alto,TX_000015,51.53,2026-04-11,508,transferencia,app_movil,microtransacciones|frecuencia_alta|cuenta_destino_nueva,true,79,DEV_0005,telefono,10.5.35.182,Windows,false,2026-04-11,UBI_GT_000,Guatemala,Guatemala,14.6349,-90.5069,false,UBI_015,Guatemala,Escuintla,14.25535,-90.75789,false,UBI_003,Guatemala,Escuintla,14.31871,-90.8088,false,UBI_026,Guatemala,Quetzaltenango,14.87622,-91.52533,false
